Chinese_score,top_k_avg_scores,year,Type
-0.24308173484558326,-0.17117711924281862,1800,Morality
-0.19928946539018239,-0.2400139733930224,1810,Morality
-0.20692421177283707,-0.22364109768141902,1820,Morality
-0.2308575149610358,-0.2497394022032511,1830,Morality
0.34066370718853073,-0.13689336906869867,1840,Morality
-0.009375952836022761,-0.16629732889651988,1850,Morality
-0.06888184570337683,-0.18396542081573944,1860,Morality
0.38141094211794985,-0.16741128314691667,1870,Morality
-0.09451061825216309,-0.21429991117010652,1880,Morality
-0.33206409064159503,-0.207423069386397,1890,Morality
-0.22216872452973896,-0.1181720610795627,1900,Morality
-0.00869605855647476,-0.12159750203298124,1910,Morality
0.1118560352229461,-0.07303112469545657,1920,Morality
0.21919072718524155,-0.104972773642618,1930,Morality
0.005035863257674758,-0.09773046254394288,1940,Morality
-0.24780076996916162,-0.28803416209176674,1950,Morality
-0.17215445076306946,-0.3844682588553835,1960,Morality
-0.12252644259167528,-0.3962869661471366,1970,Morality
0.08065713910724952,-0.2984784754352948,1980,Morality
-0.044635836353675205,-0.2551167916380761,1990,Morality
