Chinese_score,top_k_avg_scores,year,Type
0.131840996419967,-0.20549854670875156,1800,Warmth
-0.10634940413508738,-0.21720154971800532,1810,Warmth
-0.3462111554603231,-0.364492514613822,1820,Warmth
0.23605126949763888,-0.1285431856692277,1830,Warmth
0.025416898916672356,-0.24991862368445417,1840,Warmth
-0.10079849220375743,-0.2516655538258474,1850,Warmth
0.15165651010485853,-0.12681494136235674,1860,Warmth
0.30594467757332316,-0.22249180191455173,1870,Warmth
0.07778614525356858,-0.17938294376539313,1880,Warmth
0.18471230597624252,-0.0999464305417095,1890,Warmth
-0.14437663443809912,-0.13714438889948138,1900,Warmth
0.2774563360245499,-0.05801783262188695,1910,Warmth
0.013912795054616131,-0.06366783302169546,1920,Warmth
0.1928904942199224,-0.07664800629331087,1930,Warmth
0.45675055642465817,0.14376820142251517,1940,Warmth
0.2720872421294514,-0.0015118175632034376,1950,Warmth
0.26703328378400565,-0.06360981038103038,1960,Warmth
0.16175497750977427,-0.17644836260380387,1970,Warmth
0.5548892858905106,0.02464833388774154,1980,Warmth
0.41673840742503976,0.04460787886720423,1990,Warmth
