Chinese_score,top_k_avg_scores,year,Type
0.1811292632396709,0.056322109229399224,1800,Agency
-0.34462832450138453,0.0738941912644061,1810,Agency
-0.3264864961232168,0.09165027839161544,1820,Agency
-0.23453845134787804,0.06153281519002119,1830,Agency
-0.053088502505550375,0.04415500637712472,1840,Agency
-0.032801293126340905,0.09012747682808568,1850,Agency
0.2131539596944607,0.030613113829275333,1860,Agency
0.04233925247719529,0.06479545966262987,1870,Agency
-0.4955012164405989,-0.06580457037775156,1880,Agency
-0.10646176621725582,0.00567311144811508,1890,Agency
0.05858719483306307,0.15102597351235653,1900,Agency
0.030899413892533187,0.1210723669114385,1910,Agency
0.2478188081057347,0.14124210789637462,1920,Agency
0.5091322978815811,0.22545627909077998,1930,Agency
0.5333451242203755,0.22175960346150891,1940,Agency
0.5610590339101458,0.26257770829266536,1950,Agency
0.4933810766533255,0.39254283757640573,1960,Agency
0.20199020215130753,0.25261493713490657,1970,Agency
-0.11574292294613041,0.15770469518014116,1980,Agency
0.22440425640969663,0.07477284961302338,1990,Agency
