Chinese_score,top_k_avg_scores,year,Type
0.3469723861975291,0.19501669763539922,1800,Status
0.05625180593828142,0.13092278714733188,1810,Status
0.2098960603540477,0.24818748396339227,1820,Status
0.26351883706514506,0.3068925699176366,1830,Status
0.38257336235547373,0.2919567979995154,1840,Status
0.5593142626928486,0.33773562761119735,1850,Status
0.8987007391204944,0.3940461426111068,1860,Status
0.8389183737978377,0.3471954000388335,1870,Status
0.010490905667594488,0.13708851658059157,1880,Status
0.9780716310407447,0.37862032815771535,1890,Status
0.8097763442167869,0.46789506593176916,1900,Status
0.802992500344283,0.461113814407772,1910,Status
0.6684316734686853,0.41891575812404785,1920,Status
0.7985832796252889,0.47758931096970814,1930,Status
1.0085150186932292,0.4762562638645136,1940,Status
0.6580183005991335,0.32977811881573305,1950,Status
0.9465320090159339,0.49227423108094626,1960,Status
0.6611557891816952,0.12286806317105929,1970,Status
0.628648887949204,0.2570950886658143,1980,Status
0.9072104150741533,0.2040410232557811,1990,Status
