Chinese_score,top_k_avg_scores,year,Type
-0.24308173484558326,-0.3714346695491127,1800,Morality
-0.19928946539018239,-0.14432649368155137,1810,Morality
-0.20692421177283707,-0.28433717610256865,1820,Morality
-0.2308575149610358,-0.24955905186427418,1830,Morality
0.34066370718853073,-0.12060328845071346,1840,Morality
-0.009375952836022761,-0.22229810762036595,1850,Morality
-0.06888184570337683,-0.23756280553746606,1860,Morality
0.38141094211794985,0.03332773259370112,1870,Morality
-0.09451061825216309,-0.12102768898513198,1880,Morality
-0.33206409064159503,-0.23405582145320164,1890,Morality
-0.22216872452973896,-0.06131725868670901,1900,Morality
-0.00869605855647476,-0.09873898943156571,1910,Morality
0.1118560352229461,-0.025666613390156006,1920,Morality
0.21919072718524155,-0.1893053091547523,1930,Morality
0.005035863257674758,-0.08903739534976213,1940,Morality
-0.24780076996916162,-0.34251017486877466,1950,Morality
-0.17215445076306946,-0.35368074739224975,1960,Morality
-0.12252644259167528,-0.28019404822504296,1970,Morality
0.08065713910724952,-0.209584171389135,1980,Morality
-0.044635836353675205,-0.3147876770534969,1990,Morality
