Chinese_score,top_k_avg_scores,year,Type
0.1811292632396709,0.053878992883068,1800,Agency
-0.34462832450138453,0.13587440940662712,1810,Agency
-0.3264864961232168,0.08097666764946398,1820,Agency
-0.23453845134787804,0.040772029926927855,1830,Agency
-0.053088502505550375,0.10696379558033016,1840,Agency
-0.032801293126340905,0.10185240911998653,1850,Agency
0.2131539596944607,-0.009511712700434275,1860,Agency
0.04233925247719529,0.11682762741646638,1870,Agency
-0.4955012164405989,-0.10538892871810138,1880,Agency
-0.10646176621725582,0.017719549294135068,1890,Agency
0.05858719483306307,0.16730132407467244,1900,Agency
0.030899413892533187,0.0806662397263723,1910,Agency
0.2478188081057347,0.13793766070318195,1920,Agency
0.5091322978815811,0.27333474457034457,1930,Agency
0.5333451242203755,0.27761677698117465,1940,Agency
0.5610590339101458,0.32328285206709406,1950,Agency
0.4933810766533255,0.440760750968119,1960,Agency
0.20199020215130753,0.2768487983420106,1970,Agency
-0.11574292294613041,0.15538210674272734,1980,Agency
0.22440425640969663,0.15981726500392893,1990,Agency
