Chinese_score,top_k_avg_scores,year,Type
0.37530547237107975,0.14717746227851314,1800,Comptence
0.09688258729666348,-0.02310005871168414,1810,Comptence
0.11652080137273954,0.04750508370813253,1820,Comptence
0.28613238433516114,0.15991077256499264,1830,Comptence
0.16861599676816263,-0.07771247226432132,1840,Comptence
0.24552537705685895,-0.04979590370750353,1850,Comptence
0.14742077902011747,-0.034358970860988984,1860,Comptence
0.10463416182106898,-0.026156974451061354,1870,Comptence
-0.40516549301333954,-0.17652268004771302,1880,Comptence
-0.038467850074456446,0.06158549301817487,1890,Comptence
0.25506029186225404,0.19941677851950254,1900,Comptence
-0.08345387525570219,-0.12616557646298376,1910,Comptence
0.21418285750308824,0.10061214776832027,1920,Comptence
0.4564794132842658,0.07212542684736906,1930,Comptence
0.06285524278095468,-0.19725258531343973,1940,Comptence
0.31366570607984035,-0.10524501056939982,1950,Comptence
0.4909124755810518,-0.028621274707563517,1960,Comptence
0.4631237680115362,0.006774433297074985,1970,Comptence
0.17985005851291005,-0.008390177619374292,1980,Comptence
0.2514003145380062,0.07824320597100609,1990,Comptence
