Chinese_score,top_k_avg_scores,year,Type
0.3879167190429173,0.2604000339337841,1830,Comptence
0.4373497540971574,0.3068175487015006,1840,Comptence
0.6544193882708597,0.6146356830962155,1850,Comptence
0.4483257423617843,0.36788496595370285,1860,Comptence
0.6340291319837705,0.4791302067197716,1870,Comptence
0.6196040939022975,0.5966844375411767,1880,Comptence
0.047696724393013895,0.0416944889695942,1890,Comptence
0.49239729462130677,0.32942248815936764,1900,Comptence
0.4380023221193198,0.38582508623991324,1910,Comptence
0.21664871538188055,0.34312726344219013,1920,Comptence
0.4301933043285559,0.15769869222484512,1930,Comptence
0.45737910571815416,0.23535190571684766,1940,Comptence
0.00445059771732857,-0.08085623542998088,1950,Comptence
0.14645325143934787,0.10897980155137824,1960,Comptence
0.47623052724366705,0.302400013546763,1970,Comptence
0.0579188418719287,-0.022422117100878415,1980,Comptence
0.45022420397253066,0.23881255913789698,1990,Comptence
0.3323893160742415,0.3654254340707131,2000,Comptence
