Chinese_score,top_k_avg_scores,year,Type
0.1783200242267473,0.1937887801308248,1830,Agency
-0.1814491252366038,-0.189117246181174,1840,Agency
-0.006448560011178688,0.03860046536459854,1850,Agency
0.613547239625804,0.5580721150822704,1860,Agency
0.5802688090338827,0.5202927053307976,1870,Agency
0.46528843589774904,0.6249790347687296,1880,Agency
0.49417318419931167,0.5340478852724478,1890,Agency
0.8009098108128585,0.6139034583016098,1900,Agency
0.3974660271862902,0.59264524063002,1910,Agency
0.48526088077895024,0.5178564847457031,1920,Agency
0.21776250294985536,0.26575668231192806,1930,Agency
0.44360050486643954,0.2977213524139048,1940,Agency
0.3286932930496401,0.21506441335569731,1950,Agency
0.08698041447372716,0.09318002924434506,1960,Agency
0.384185571483317,0.3248794093720733,1970,Agency
0.44898675369515983,0.5712952920279617,1980,Agency
0.5433353920863988,0.3658710528860699,1990,Agency
0.5450859080525956,0.39598793104706015,2000,Agency
