Chinese_score,top_k_avg_scores,year,Type
0.1941522378994999,0.16975863591565943,1830,Warmth
-0.18990892496162806,-0.10790235275060421,1840,Warmth
0.025019655359210198,0.07010153601294924,1850,Warmth
0.06804158488669736,0.08828387307129314,1860,Warmth
0.04548405524310321,0.021764916718286505,1870,Warmth
-0.15870837178390987,0.0493735808844973,1880,Warmth
0.18662161877288588,0.24047112280158878,1890,Warmth
0.13498772781586446,0.2063870489954422,1900,Warmth
0.020226318532101,0.0954147831793011,1910,Warmth
0.038453178906158424,0.01656942706482079,1920,Warmth
-0.17129056988705021,-0.11611511141835663,1930,Warmth
0.15688868358600178,-0.09117036818754629,1940,Warmth
-0.1401377857067455,0.03152729653636904,1950,Warmth
0.0015049494143988397,-0.09680209985011197,1960,Warmth
0.31980845262828944,0.17988088728649124,1970,Warmth
0.3416679262371535,0.23602452342005575,1980,Warmth
0.3573754443684474,0.15000317973255198,1990,Warmth
0.48338484989158903,0.4155201481839394,2000,Warmth
