Chinese_score,top_k_avg_scores,year,Type
-0.13519852560994286,-0.1619844221494967,1830,Morality
-0.023537764720310345,-0.011869894813991663,1840,Morality
0.07456027030868395,0.07309847738033863,1850,Morality
0.07038221933123842,0.09251754884256413,1860,Morality
0.035463054426907586,-0.03396233162562545,1870,Morality
-0.205780534701948,0.006162514199288012,1880,Morality
-0.09608402215668765,-0.0062042379943479595,1890,Morality
0.18080098075699544,0.20667484917222972,1900,Morality
0.09187537716796589,0.11142035378749819,1910,Morality
-0.1369431759249318,-0.0410128342559795,1920,Morality
-0.19371575296234453,-0.16959901894712123,1930,Morality
-0.04302735606095772,-0.06494093478143138,1940,Morality
-0.05116641724318183,-0.05020867397492667,1950,Morality
-0.12298134466401012,-0.05297608791520905,1960,Morality
-0.09538706735807066,-0.09452058721504208,1970,Morality
-0.1574935303876673,-0.18788768396579397,1980,Morality
-0.2516648862567972,-0.18698258369756282,1990,Morality
-0.17612273593427377,-0.09957164905473373,2000,Morality
