Chinese_score,top_k_avg_scores,year,Type
-0.9292381217395657,-0.8973791217683125,1830,Politics
0.11543321782064213,-0.023790438774523564,1840,Politics
0.37116453033974156,0.4877526738792969,1850,Politics
1.0872252787425278,1.0761672534287665,1860,Politics
0.6826306768151047,0.6144723394393402,1870,Politics
0.21133246982808043,0.23884193202078743,1880,Politics
0.45774767424819723,0.6066839221675594,1890,Politics
-0.1546484343895569,-0.30438929621378447,1900,Politics
0.5408538739751704,0.13612638123820545,1910,Politics
0.37764604994757633,0.30856747641931287,1920,Politics
0.3581724361847009,0.4386214369665561,1930,Politics
0.24710186792841496,0.3568316849744236,1940,Politics
0.6964557519949559,0.7461252396204867,1950,Politics
0.9628770655417714,0.8059211562538714,1960,Politics
1.0105124905822143,0.9314606357611619,1970,Politics
0.7266602028744938,0.38452978160492035,1980,Politics
0.4955552517803635,0.270932272854241,1990,Politics
0.14256967161322137,0.2823187065353818,2000,Politics
