Chinese_score,top_k_avg_scores,year,Type
0.1783200242267473,0.1994586747950216,1830,Agency
-0.1814491252366038,-0.19867889666755967,1840,Agency
-0.006448560011178688,0.0075687551025123015,1850,Agency
0.613547239625804,0.6027771502386323,1860,Agency
0.5802688090338827,0.5156333210834168,1870,Agency
0.46528843589774904,0.5742735907777573,1880,Agency
0.49417318419931167,0.5607163008736641,1890,Agency
0.8009098108128585,0.7417664085447999,1900,Agency
0.3974660271862902,0.6274488267864654,1910,Agency
0.48526088077895024,0.6034426556258938,1920,Agency
0.21776250294985536,0.3492094823759615,1930,Agency
0.44360050486643954,0.47299428787546544,1940,Agency
0.3286932930496401,0.3200333409562733,1950,Agency
0.08698041447372716,0.24892210919269797,1960,Agency
0.384185571483317,0.5343219928543527,1970,Agency
0.44898675369515983,0.5789021892762237,1980,Agency
0.5433353920863988,0.5334585275956206,1990,Agency
0.5450859080525956,0.5738322731929841,2000,Agency
