Chinese_score,top_k_avg_scores,year,Type
-0.3849388913790551,-0.27465549052991195,1830,Status
0.17547550298147147,-0.015735467723221017,1840,Status
-0.15936712372645107,-0.15478898213654652,1850,Status
0.1525787246516025,-0.020775259029401097,1860,Status
-0.1715680121841819,-0.2968171243922979,1870,Status
1.0197934091136123,0.6547859003659653,1880,Status
-0.043954846654709084,-0.0010996151336806232,1890,Status
1.1009900229040246,0.6955869383565836,1900,Status
0.47865033460625556,0.3358113399868546,1910,Status
0.8411725209257046,0.31261396002767783,1920,Status
0.4203612757302264,0.10802376477984009,1930,Status
0.3700625719104091,0.3253864698565821,1940,Status
0.3636276905360987,0.2800668260810637,1950,Status
0.7053238904503524,0.27915953454983455,1960,Status
0.6726512449179249,0.38231002461946584,1970,Status
0.862568371053197,0.40886003282055233,1980,Status
0.5024674303267126,0.02912157054335003,1990,Status
-0.05257500419957173,-0.0914749540312305,2000,Status
